file,index,faculty,department,term,courseTitle,lookup_hint
glendon.json,92,GL,CORE,F,Animal and Environmental Ethics,GL/CORE — F — Animal and Environmental Ethics
glendon.json,115,GL,CORE,W,International Perspectives on Race and Racism,GL/CORE — W — International Perspectives on Race and Racism
glendon.json,156,GL,ECON,W,Marketing and Consumer Economics,GL/ECON — W — Marketing and Consumer Economics
glendon.json,282,GL,HIST,W,Memory and Historical Narratives,GL/HIST — W — Memory and Historical Narratives
glendon.json,307,GL,HUMA,F,Animal and Environmental Ethics,GL/HUMA — F — Animal and Environmental Ethics
glendon.json,309,GL,HUMA,F,The Quest for Meaning,GL/HUMA — F — The Quest for Meaning
glendon.json,386,GL,ILST,W,International Perspectives on Race and Racism,GL/ILST — W — International Perspectives on Race and Racism
glendon.json,390,GL,ILST,F,Migration and Citizenship,GL/ILST — F — Migration and Citizenship
glendon.json,434,GL,MATH,W,Machine Learning: An Introduction,GL/MATH — W — Machine Learning: An Introduction
glendon.json,435,GL,MATH,F,Mathematics Through the Ages and Civilizations,GL/MATH — F — Mathematics Through the Ages and Civilizations
glendon.json,465,GL,PHIL,F,Animal and Environmental Ethics,GL/PHIL — F — Animal and Environmental Ethics
glendon.json,467,GL,PHIL,F,The Quest for Meaning,GL/PHIL — F — The Quest for Meaning
glendon.json,499,GL,POLS,F,European Politics,GL/POLS — F — European Politics
glendon.json,528,GL,POLS,F,Migration and Citizenship,GL/POLS — F — Migration and Citizenship
glendon.json,600,GL,SOCI,W,International Perspectives on Race and Racism,GL/SOCI — W — International Perspectives on Race and Racism
lassonde.json,36,LE,COOP,F,Professional Development for Co-Op Students,LE/COOP — F — Professional Development for Co-Op Students
lassonde.json,37,LE,COOP,W,Professional Development for Co-Op Students,LE/COOP — W — Professional Development for Co-Op Students
lassonde.json,38,LE,COOP,F,Lassonde Co-op Work-term,LE/COOP — F — Lassonde Co-op Work-term
lassonde.json,39,LE,COOP,W,Lassonde Co-op Work-term,LE/COOP — W — Lassonde Co-op Work-term
lassonde.json,40,LE,COOP,F,Critical Reflection on Work Experience using Professional Portfolios,LE/COOP — F — Critical Reflection on Work Experience using Professional Portfolios
lassonde.json,41,LE,COOP,W,Critical Reflection on Work Experience using Professional Portfolios,LE/COOP — W — Critical Reflection on Work Experience using Professional Portfolios
lassonde.json,42,LE,COOP,F,Lassonde Co-op Work-term,LE/COOP — F — Lassonde Co-op Work-term
lassonde.json,43,LE,COOP,W,Lassonde Co-op Work-term,LE/COOP — W — Lassonde Co-op Work-term
lassonde.json,44,LE,CSSD,F,Introduction to Computer Programming (CS0),LE/CSSD — F — Introduction to Computer Programming (CS0)
lassonde.json,45,LE,CSSD,A1,Coding through Biology (CS1 A),LE/CSSD — A1 — Coding through Biology (CS1 A)
lassonde.json,46,LE,CSSD,A2,Coding through Chemistry (CS1 B),LE/CSSD — A2 — Coding through Chemistry (CS1 B)
lassonde.json,47,LE,CSSD,F,Teamwork and Communication in Software Development,LE/CSSD — F — Teamwork and Communication in Software Development
lassonde.json,48,LE,CSSD,W,Coding with Objects (CS2),LE/CSSD — W — Coding with Objects (CS2)
lassonde.json,49,LE,CSSD,W,Web-Centric Programming,LE/CSSD — W — Web-Centric Programming
lassonde.json,50,LE,CSSD,W,Logic and Computing,LE/CSSD — W — Logic and Computing
